data,dia,mes,mes_numero,ano,ano_mes,trimestre
2026-01-05,5,January,1,2026,2026-01,1
2026-01-06,6,January,1,2026,2026-01,1
2026-01-07,7,January,1,2026,2026-01,1
2026-01-08,8,January,1,2026,2026-01,1
2026-01-09,9,January,1,2026,2026-01,1
2026-01-12,12,January,1,2026,2026-01,1
2026-01-13,13,January,1,2026,2026-01,1
2026-01-14,14,January,1,2026,2026-01,1
2026-01-15,15,January,1,2026,2026-01,1
2026-01-16,16,January,1,2026,2026-01,1
2026-01-19,19,January,1,2026,2026-01,1
2026-01-20,20,January,1,2026,2026-01,1
2026-01-21,21,January,1,2026,2026-01,1
2026-01-22,22,January,1,2026,2026-01,1
2026-01-23,23,January,1,2026,2026-01,1
2026-01-26,26,January,1,2026,2026-01,1
2026-01-27,27,January,1,2026,2026-01,1
2026-01-28,28,January,1,2026,2026-01,1
2026-01-29,29,January,1,2026,2026-01,1
2026-01-30,30,January,1,2026,2026-01,1
2026-02-02,2,February,2,2026,2026-02,1
2026-02-03,3,February,2,2026,2026-02,1
2026-02-04,4,February,2,2026,2026-02,1
2026-02-05,5,February,2,2026,2026-02,1
2026-02-06,6,February,2,2026,2026-02,1
2026-02-09,9,February,2,2026,2026-02,1
2026-02-10,10,February,2,2026,2026-02,1
2026-02-11,11,February,2,2026,2026-02,1
2026-02-12,12,February,2,2026,2026-02,1
2026-02-13,13,February,2,2026,2026-02,1
2026-02-19,19,February,2,2026,2026-02,1
2026-02-20,20,February,2,2026,2026-02,1
2026-02-23,23,February,2,2026,2026-02,1
2026-02-24,24,February,2,2026,2026-02,1
2026-02-25,25,February,2,2026,2026-02,1
2026-02-26,26,February,2,2026,2026-02,1
2026-02-27,27,February,2,2026,2026-02,1
2026-03-02,2,March,3,2026,2026-03,1
2026-03-03,3,March,3,2026,2026-03,1
2026-03-04,4,March,3,2026,2026-03,1
2026-03-05,5,March,3,2026,2026-03,1
2026-03-06,6,March,3,2026,2026-03,1
2026-03-09,9,March,3,2026,2026-03,1
2026-03-10,10,March,3,2026,2026-03,1
2026-03-11,11,March,3,2026,2026-03,1
2026-03-12,12,March,3,2026,2026-03,1
2026-03-13,13,March,3,2026,2026-03,1
2026-03-16,16,March,3,2026,2026-03,1
2026-03-17,17,March,3,2026,2026-03,1
2026-03-18,18,March,3,2026,2026-03,1
2026-03-23,23,March,3,2026,2026-03,1
2026-03-24,24,March,3,2026,2026-03,1
2026-03-26,26,March,3,2026,2026-03,1
2026-03-27,27,March,3,2026,2026-03,1
