id_preparacao,tipo_preparacao,preparacao
1,Arroz Integral,(sem cardápio informado)
2,Arroz Integral,Arroz Integral
3,Arroz/Baião,(sem cardápio informado)
4,Arroz/Baião,Arroz Branco
5,Arroz/Baião,Baião
6,Café,Café 
7,Café SA,Café 
8,Café SA,Café sem Açúcar
9,Especial,Achocolatado
10,Especial,Carne Moída ao Molho
11,Especial,Frango Desfiado
12,Especial,Iogurte 
13,Especial,Mingau 
14,Especial,Ovos Mexidos
15,Especial,Queijo 
16,Especial Veg,Achocolatado vegano 
17,Especial Veg,Geleia
18,Especial Veg,Granola
19,Especial Veg,Pasta de Amendoim
20,Especial Veg,Similar a Iogurte Vegano
21,Feijão,(sem cardápio informado)
22,Feijão,Feijão Carioca
23,Feijão,Feijão de Corda
24,Fruta 1,Banana
25,Fruta 1,Laranja
26,Fruta 1,Maçã
27,Fruta 1,Tangerina
28,Fruta 2,Abacaxi
29,Fruta 2,Mamão
30,Fruta 2,Melancia
31,Fruta 2,Melão Espanhol
32,Fruta 2,Melão Japonês
33,Guarnição,(sem cardápio informado)
34,Guarnição,Batata Rústica
35,Guarnição,Batata Souté
36,Guarnição,Cuscuz
37,Guarnição,Farofa
38,Guarnição,Farofa Branca com Soja
39,Guarnição,Farofa com Cenoura
40,Guarnição,Macarrão
41,Guarnição,Macarrão Parafuso
42,Guarnição,Macaxeira
43,Guarnição,Macaxeira Refogada
44,Guarnição,Purê
45,Leite,Leite 
46,Leite Veg,Leite de Soja 
47,Leite Veg,Leite sem Lactose 
48,Manteiga,Manteiga 
49,PB, Frango ao M. Tropical
50,PB,(sem cardápio informado)
51,PB,Creme de Frango
52,PB,Cubos de Frango Acebolado
53,PB,Cubos de Frango ao M. Escuro
54,PB,Cubos de Frango ao M. Tropical 
55,PB,Cubos de Frango ao M. Vermelho
56,PB,Cubos de Frango ao M. de Ervas
57,PB,Cubos de Frango ao M. de Legumes
58,PB,Cubos de Frango ao M. de Tomate
59,PB,Cubos de Frango ao Molho Mostarda
60,PB,Cubos de Frango com Batata Rústica
61,PB,Cubos de Frango com Ervas
62,PB,Cubos de Frango à Chinesa
63,PB,Escondidinho de Frango
64,PB,Estrogonofe de Frango
65,PB,Frango Xadrez
66,PB,Frango ao Molho de Ervas
67,PB,Fricassê de Frango
68,PB,Isca de Frango Acebolado
69,PB,Isca de Frango ao M. Ervas
70,PB,Isca de Frango ao M. Tropical
71,PB,Isca de Frango ao M. de Legumes
72,PB,Isca de Frango ao Molho
73,PB,Isca de Frango ao Molho Vermelho
74,PB,Isca de Frango com Ervas
75,PB,Moqueca de Peixe
76,PB,Peixe Assado
77,PB,Peixe ao M. Branco
78,PB,Peixe ao M. de Peixada
79,PB,Peixe à Delícia
80,PB,Sobrecoxa  ao M.Ervas
81,PB,Sobrecoxa Assada
82,PB,Sobrecoxa Assada/ ao Forno
83,PB,Sobrecoxa Crocante
84,PB,Sobrecoxa Desossada
85,PB,Sobrecoxa Desossada ao M.
86,PB,Sobrecoxa Desossada ao M.Ervas
87,PB,Sobrecoxa Desosssada Crocante
88,PB,Sobrecoxa ao M. de Ervas
89,PB,Sobrecoxa ao M. de Legumes
90,PB,Sobrecoxa ao Molho
91,PB,Sobrecoxa com Gergelim
92,PB,Vatapá de Frango
93,PV,(sem cardápio informado)
94,PV,Assado de Panela
95,PV,Calabresa Acebolada
96,PV,Calabresa à Carioca
97,PV,Carne Moída Refogada
98,PV,Carne Moída ao M. Tomate
99,PV,Carne Moída ao Molho
100,PV,Carne Moída à Bolonhesa
101,PV,Carne de Sol Acebolada
102,PV,Carne do Sol
103,PV,Cozido Bovino à Calabresa
104,PV,Cozido Nordestino
105,PV,Cubo Suíno ao M. Escuro
106,PV,Cubo Suíno ao Molho Barbecue
107,PV,Cubo Suíno à Carioca
108,PV,Cubo suíno acebolado
109,PV,Cubos Carne ao M. Madeira
110,PV,Cubos Suíno Acebolado
111,PV,Cubos Suíno ao molho barbecue
112,PV,Cubos de Carne ao M. Escuro
113,PV,Cubos de Carne ao M. Madeira
114,PV,Cubos de Carne à Chinesa
115,PV,Dobradinha
116,PV,Escondidinho de Calabresa
117,PV,Escondidinho de Carne
118,PV,Estrogonofe de Carne
