ru,data,refeicao,id_preparacao,tipo_preparacao,preparacao,peso_bruto,peso_liq,sobra_limpa,sobra_suja,quantidade_distribuida,consumo_real,comensais_real,resto_ingesta_kg,pct_resto_ingesta,per_capita_g_comensal
P1,2026-01-05,Almoço,103,PV,Cozido Bovino à Calabresa,263.9,251.8,20.9,4.0,230.9,226.9,1738.0,4.0,1.73235166738848,130.5523590333717
P1,2026-01-05,Almoço,55,PB,Cubos de Frango ao M. Vermelho,211.4,245.6,40.9,8.1,204.7,196.6,1738.0,8.1,3.957010258915486,113.1185270425777
P1,2026-01-05,Almoço,207,VEG,Soja Tropical,40.6,32.5,0.0,6.6,32.5,25.9,1738.0,6.6,20.307692307692307,14.902186421173765
P1,2026-01-05,Almoço,4,Arroz/Baião,Arroz Branco,272.1,280.1,28.0,4.3,252.10000000000002,247.8,1738.0,4.3,1.7056723522411739,142.5776754890679
P1,2026-01-05,Almoço,2,Arroz Integral,Arroz Integral,66.5,54.5,13.6,5.8,40.9,35.1,1738.0,5.8,14.180929095354522,20.195627157652478
P1,2026-01-05,Almoço,22,Feijão,Feijão Carioca,243.0,255.6,21.3,1.3,234.29999999999998,233.0,1738.0,1.3,0.5548442168160478,134.0621403912543
P1,2026-01-05,Almoço,37,Guarnição,Farofa,96.6,104.8,13.1,4.1,91.7,87.60000000000002,1738.0,4.1,4.471101417666302,50.40276179516688
P1,2026-01-05,Almoço,142,Salada,Salada Crua,91.9,74.2,14.8,6.0,59.400000000000006,53.400000000000006,1738.0,6.0,10.1010101010101,30.724971231300348
P1,2026-01-05,Almoço,157,Suco,Goiaba,560.0,560.0,0.0,0.0,560.0,560.0,1738.0,0.0,0.0,322.20943613348675
P1,2026-01-05,Almoço,166,Suco SA,Goiaba,70.0,70.0,0.0,30.0,70.0,40.0,1738.0,30.0,42.857142857142854,23.01495972382048
P1,2026-01-05,Almoço,146,Sobremesa,Banana,126.9,99.9,0.0,20.0,99.9,79.9,1738.0,20.0,20.02002002002002,45.97238204833142
P1,2026-01-05,Jantar,111,PV,Cubos Suíno ao molho barbecue,163.0,142.0,40.5,9.2,101.5,92.3,706.0,9.2,9.064039408866995,130.73654390934846
P1,2026-01-05,Jantar,85,PB,Sobrecoxa Desossada ao M.,156.5,135.5,19.3,7.4,116.2,108.8,706.0,7.4,6.368330464716007,154.10764872521247
P1,2026-01-05,Jantar,179,VEG,Bolinha de grão de bico,27.4,22.0,0.0,6.6,22.0,15.4,706.0,6.6,30.0,21.813031161473088
P1,2026-01-05,Jantar,4,Arroz/Baião,Arroz Branco,194.7,158.70000000000002,39.6,8.2,119.10000000000002,110.90000000000002,706.0,8.2,6.884970612930309,157.08215297450428
P1,2026-01-05,Jantar,2,Arroz Integral,Arroz Integral,46.2,37.2,0.0,6.7,37.2,30.500000000000004,706.0,6.7,18.01075268817204,43.201133144475925
P1,2026-01-05,Jantar,23,Feijão,Feijão de Corda,178.3,157.3,44.9,10.2,112.4,102.2,706.0,10.2,9.074733096085408,144.75920679886684
P1,2026-01-05,Jantar,44,Guarnição,Purê,190.7,166.7,0.0,7.7,166.7,159.0,706.0,7.7,4.619076184763047,225.21246458923517
P1,2026-01-05,Jantar,142,Salada,Salada Crua,129.7,41.500000000000014,0.0,5.3,41.500000000000014,36.20000000000002,706.0,5.3,12.771084337349393,51.27478753541079
P1,2026-01-05,Jantar,159,Suco,Manga,270.0,270.0,0.0,15.0,270.0,255.0,706.0,15.0,5.555555555555555,361.1898016997167
P1,2026-01-05,Jantar,168,Suco SA,Manga,30.0,30.0,0.0,5.0,30.0,25.0,706.0,5.0,16.666666666666664,35.41076487252125
P1,2026-01-05,Jantar,145,Sobremesa,Abacaxi,42.8,34.099999999999994,0.0,0.0,34.099999999999994,34.099999999999994,706.0,0.0,0.0,48.30028328611897
P1,2026-01-06,Almoço,129,PV,Paçoca de Carne,178.0,171.2,39.5,8.0,131.7,123.7,1868.0,8.0,6.074411541381929,66.22055674518201
P1,2026-01-06,Almoço,81,PB,Sobrecoxa Assada,216.2,194.00000000000003,22.8,6.7,171.20000000000002,164.50000000000003,1868.0,6.7,3.9135514018691584,88.06209850107068
P1,2026-01-06,Almoço,173,VEG,Arroz Cremoso de Lentilha,74.3,44.89999999999999,0.0,4.4,44.89999999999999,40.49999999999999,1868.0,4.4,9.79955456570156,21.680942184154173
P1,2026-01-06,Almoço,5,Arroz/Baião,Baião,349.9,347.5,28.9,10.0,318.6,308.6,1868.0,10.0,3.1387319522912738,165.203426124197
P1,2026-01-06,Almoço,2,Arroz Integral,Arroz Integral,80.3,65.3,13.0,9.3,52.3,43.0,1868.0,9.3,17.78202676864245,23.019271948608136
P1,2026-01-06,Almoço,23,Feijão,Feijão de Corda,53.4,94.8,23.7,6.0,71.1,65.1,1868.0,6.0,8.438818565400846,34.85010706638115
P1,2026-01-06,Almoço,44,Guarnição,Purê,331.4,330.6,61.9,4.8,268.70000000000005,263.9,1868.0,4.8,1.7863788611834754,141.27408993576017
P1,2026-01-06,Almoço,142,Salada,Salada Crua,116.3,104.6,20.9,6.0,83.69999999999999,77.69999999999999,1868.0,6.0,7.168458781362008,41.59528907922911
P1,2026-01-06,Almoço,149,Sobremesa,Melancia,143.8,119.8,0.0,0.0,119.8,119.8,1868.0,0.0,0.0,64.13276231263384
P1,2026-01-06,Almoço,155,Suco,Caju,620.0,620.0,100.0,20.0,520.0,500.0,1868.0,20.0,3.8461538461538463,267.6659528907923
P1,2026-01-06,Almoço,164,Suco SA,Caju,70.0,70.0,0.0,10.0,70.0,60.0,1868.0,10.0,14.285714285714285,32.11991434689507
P1,2026-01-06,Jantar,99,PV,Carne Moída ao Molho,118.5,103.5,0.0,9.7,103.5,93.8,898.0,9.7,9.371980676328501,104.4543429844098
P1,2026-01-06,Jantar,60,PB,Cubos de Frango com Batata Rústica,80.3,68.3,0.0,6.8,68.3,61.5,898.0,6.8,9.956076134699854,68.48552338530067
P1,2026-01-06,Jantar,192,VEG,Jardineira de Soja,31.9,26.5,0.0,5.0,26.5,21.5,898.0,5.0,18.867924528301888,23.942093541202677
P1,2026-01-06,Jantar,4,Arroz/Baião,Arroz Branco,146.2,122.2,30.5,7.3,91.7,84.39999999999999,898.0,7.3,7.960741548527809,93.98663697104676
P1,2026-01-06,Jantar,2,Arroz Integral,Arroz Integral,52.3,43.3,0.0,6.3,43.3,37.00000000000001,898.0,6.3,14.549653579676674,41.20267260579065
P1,2026-01-06,Jantar,22,Feijão,Feijão Carioca,170.5,149.5,21.3,8.7,128.2,119.5,898.0,8.7,6.786271450858035,133.07349665924275
P1,2026-01-06,Jantar,40,Guarnição,Macarrão,167.6,137.6,0.0,5.5,137.6,132.1,898.0,5.5,3.997093023255814,147.10467706013364
P1,2026-01-06,Jantar,142,Salada,Salada Crua,56.0,37.1,0.0,6.0,37.1,31.099999999999994,898.0,6.0,16.172506738544474,34.63251670378618
P1,2026-01-06,Jantar,148,Sobremesa,Maçã,46.0,37.0,0.0,0.0,37.0,37.0,898.0,0.0,0.0,41.202672605790646
P1,2026-01-06,Jantar,161,Suco,Tamarindo,270.0,270.0,0.0,8.0,270.0,262.0,898.0,8.0,2.9629629629629632,291.7594654788419
P1,2026-01-06,Jantar,170,Suco SA,Tamarindo,30.0,30.0,0.0,3.0,30.0,27.0,898.0,3.0,10.0,30.066815144766142
P1,2026-01-07,Almoço,119,PV,Feijoada,262.4,375.0,0.0,2.0,375.0,373.0,1864.0,2.0,0.5333333333333333,200.10729613733903
P1,2026-01-07,Almoço,71,PB,Isca de Frango ao M. de Legumes,191.5,187.3,0.0,8.1,187.3,179.20000000000002,1864.0,8.1,4.324612920448478,96.137339055794
P1,2026-01-07,Almoço,177,VEG,Bobó de Legumes,34.9,29.5,0.0,3.4,29.5,26.1,1864.0,3.4,11.525423728813559,14.00214592274678
P1,2026-01-07,Almoço,4,Arroz/Baião,Arroz Branco,251.3,261.1,0.0,1.6,261.1,259.5,1864.0,1.6,0.6127920337035618,139.2167381974249
P1,2026-01-07,Almoço,2,Arroz Integral,Arroz Integral,66.4,54.400000000000006,0.0,3.0,54.400000000000006,51.400000000000006,1864.0,3.0,5.51470588235294,27.575107296137343
P1,2026-01-07,Almoço,22,Feijão,Feijão Carioca,95.0,124.4,0.0,3.4,124.4,121.0,1864.0,3.4,2.733118971061093,64.91416309012875
P1,2026-01-07,Almoço,38,Guarnição,Farofa Branca com Soja,100.6,110.0,0.0,9.9,110.0,100.1,1864.0,9.9,9.0,53.70171673819743
P1,2026-01-07,Almoço,142,Salada,Salada Crua,80.0,51.49999999999999,0.0,0.1,51.49999999999999,51.39999999999999,1864.0,0.1,0.19417475728155342,27.575107296137336
P1,2026-01-07,Almoço,147,Sobremesa,Laranja,96.4,78.4,0.0,0.0,78.4,78.4,1864.0,0.0,0.0,42.06008583690987
P1,2026-01-07,Almoço,154,Suco,Acerola,490.0,490.0,0.0,20.0,490.0,470.0,1864.0,20.0,4.081632653061225,252.1459227467811
P1,2026-01-07,Almoço,163,Suco SA,Acerola,50.0,50.0,0.0,5.0,50.0,45.0,1864.0,5.0,10.0,24.141630901287552
P1,2026-01-07,Jantar,94,PV,Assado de Panela,151.7,133.7,22.2,2.9,111.49999999999999,108.59999999999998,884.0,2.9,2.6008968609865475,122.85067873303166
P1,2026-01-07,Jantar,82,PB,Sobrecoxa Assada/ ao Forno,115.8,94.8,13.5,8.7,81.3,72.6,884.0,8.7,10.70110701107011,82.12669683257919
P1,2026-01-07,Jantar,194,VEG,Lasanha de Batatas,41.4,41.4,0.0,3.1,41.4,38.3,884.0,3.1,7.487922705314009,43.32579185520362
P1,2026-01-07,Jantar,4,Arroz/Baião,Arroz Branco,159.6,129.6,25.9,9.9,103.69999999999999,93.79999999999998,884.0,9.9,9.546769527483127,106.10859728506786
P1,2026-01-07,Jantar,2,Arroz Integral,Arroz Integral,45.3,36.3,0.0,12.3,36.3,24.0,884.0,12.3,33.884297520661164,27.14932126696832
P1,2026-01-07,Jantar,23,Feijão,Feijão de Corda,174.3,153.3,43.8,12.7,109.50000000000001,96.8,884.0,12.7,11.598173515981733,109.50226244343894
P1,2026-01-07,Jantar,36,Guarnição,Cuscuz,111.6,93.6,0.0,9.3,93.6,84.3,884.0,9.3,9.935897435897436,95.36199095022624
P1,2026-01-07,Jantar,141,Salada,Salada Cozida,107.8,88.89999999999999,0.0,4.2,88.89999999999999,84.69999999999999,884.0,4.2,4.724409448818898,95.81447963800905
P1,2026-01-07,Jantar,150,Sobremesa,Melão Espanhol,94.4,76.7,0.0,5.9,76.7,70.8,884.0,5.9,7.6923076923076925,80.09049773755656
P1,2026-01-07,Jantar,159,Suco,Manga,240.0,240.0,0.0,10.0,240.0,230.0,884.0,10.0,4.166666666666666,260.18099547511315
P1,2026-01-07,Jantar,168,Suco SA,Manga,30.0,30.0,0.0,8.0,30.0,22.0,884.0,8.0,26.666666666666668,24.8868778280543
