ru,data,refeicao,refeicoes_realizadas,refeicoes_previstas
B,2026-01-05,Almoço,1161.0,1613.333333333333
B,2026-01-05,Café,136.0,326.9230769230769
B,2026-01-05,Jantar,797.0,1750.0
B,2026-01-06,Almoço,1321.0,1618.0
B,2026-01-06,Café,185.0,320.0
B,2026-01-06,Jantar,901.0,1392.0
B,2026-01-07,Almoço,1381.0,1370.0
B,2026-01-07,Café,168.0,318.00000000000006
B,2026-01-07,Jantar,948.0,1254.0
B,2026-01-08,Almoço,1282.0,1273.3333333333333
B,2026-01-08,Café,169.0,312.0
B,2026-01-08,Jantar,892.0,1484.0
B,2026-01-09,Almoço,1143.0,1353.8461538461538
B,2026-01-09,Café,202.0,410.99999999999994
B,2026-01-09,Jantar,914.0,1013.3333333333334
B,2026-01-12,Almoço,1306.0,1116.0
B,2026-01-12,Café,132.0,234.0
B,2026-01-12,Jantar,931.0,1243.0000000000002
B,2026-01-13,Almoço,1416.0,1473.7499999999998
B,2026-01-13,Café,222.0,315.0
B,2026-01-13,Jantar,906.0,1003.4782608695651
B,2026-01-14,Almoço,1417.0,1528.0
B,2026-01-14,Café,226.0,326.0
B,2026-01-14,Jantar,872.0,1284.0
B,2026-01-15,Almoço,1219.0,1200.0
B,2026-01-15,Café,206.0,296.6666666666667
B,2026-01-15,Jantar,862.0,1224.0
B,2026-01-16,Almoço,1151.0,1201.9999999999998
B,2026-01-16,Café,207.0,403.0
B,2026-01-16,Jantar,731.0,1370.0
B,2026-01-19,Almoço,958.0,1220.7692307692307
B,2026-01-19,Café,133.0,287.6923076923077
B,2026-01-19,Jantar,573.0,1136.0
B,2026-01-20,Almoço,946.0,826.0
B,2026-01-20,Café,150.0,346.99999999999994
B,2026-01-20,Jantar,606.0,870.4347826086957
B,2026-01-21,Almoço,913.0,1041.9999999999998
B,2026-01-21,Café,141.0,328.0
B,2026-01-21,Jantar,540.0,822.0
B,2026-01-22,Almoço,812.0,1118.0
B,2026-01-22,Café,124.0,248.0
B,2026-01-22,Jantar,517.0,1078.0
B,2026-01-23,Almoço,596.0,896.25
B,2026-01-23,Café,95.0,306.0
B,2026-01-23,Jantar,439.0,544.0000000000001
B,2026-01-26,Almoço,446.0,683.9999999999999
B,2026-01-26,Café,75.0,247.85714285714286
B,2026-01-26,Jantar,342.0,775.0
B,2026-01-27,Almoço,380.0,874.0
B,2026-01-27,Café,55.0,312.0
B,2026-01-27,Jantar,322.0,573.3333333333335
B,2026-01-28,Almoço,446.0,499.99999999999994
B,2026-01-28,Café,86.0,262.0
B,2026-01-28,Jantar,344.0,544.0000000000001
B,2026-01-29,Almoço,444.0,637.5
B,2026-01-29,Café,84.0,160.0
B,2026-01-29,Jantar,322.0,550.0
B,2026-01-30,Almoço,224.0,572.0
B,2026-01-30,Café,86.0,243.57142857142858
B,2026-01-30,Jantar,154.0,552.0
B,2026-02-02,Almoço,280.0,492.0
B,2026-02-02,Café,58.0,196.92307692307693
B,2026-02-02,Jantar,189.0,426.0
B,2026-02-03,Almoço,283.0,443.99999999999994
B,2026-02-03,Café,78.0,218.00000000000003
B,2026-02-03,Jantar,208.0,276.52173913043475
B,2026-02-04,Almoço,298.0,425.99999999999994
B,2026-02-04,Café,81.0,222.66666666666666
B,2026-02-04,Jantar,180.0,470.0
B,2026-02-05,Almoço,219.0,453.0
B,2026-02-05,Café,71.0,157.33333333333334
B,2026-02-05,Jantar,172.0,612.0
B,2026-02-06,Almoço,312.0,504.00000000000006
B,2026-02-06,Café,104.0,269.00000000000006
B,2026-02-06,Jantar,209.0,357.9999999999999
B,2026-02-09,Almoço,276.0,371.99999999999994
B,2026-02-09,Café,75.0,300.0
B,2026-02-09,Jantar,222.0,472.0
B,2026-02-10,Almoço,306.0,384.99999999999994
B,2026-02-10,Café,93.0,263.0
B,2026-02-10,Jantar,234.0,293.0769230769231
B,2026-02-11,Almoço,340.0,354.0
B,2026-02-11,Café,94.0,230.0
B,2026-02-11,Jantar,234.0,340.0
B,2026-02-12,Almoço,289.0,354.0
B,2026-02-12,Café,91.0,226.0
B,2026-02-12,Jantar,188.0,314.0
B,2026-02-13,Almoço,235.0,386.6666666666667
B,2026-02-13,Café,69.0,268.0
B,2026-02-13,Jantar,140.0,390.00000000000006
B,2026-02-19,Almoço,245.0,324.16666666666674
B,2026-02-19,Café,60.0,194.66666666666666
B,2026-02-19,Jantar,195.0,412.0
B,2026-02-20,Almoço,285.0,210.0
B,2026-02-20,Café,81.0,224.0
B,2026-02-20,Jantar,200.0,438.0
B,2026-02-23,Almoço,381.0,418.4615384615385
B,2026-02-23,Café,82.0,215.3846153846154
B,2026-02-23,Jantar,242.0,392.5000000000001
B,2026-02-24,Almoço,375.0,605.0
B,2026-02-24,Café,113.0,233.0
B,2026-02-24,Jantar,273.0,250.0
B,2026-02-25,Almoço,390.0,408.0
B,2026-02-25,Café,109.0,266.0
B,2026-02-25,Jantar,217.0,291.53846153846155
B,2026-02-26,Almoço,350.0,576.6666666666666
B,2026-02-26,Café,116.0,220.0
B,2026-02-26,Jantar,244.0,318.00000000000006
B,2026-02-27,Almoço,321.0,453.84615384615387
B,2026-02-27,Café,107.0,244.0
B,2026-02-27,Jantar,198.0,304.8333333333333
B,2026-03-02,Almoço,1198.0,1592.4999999999995
B,2026-03-02,Café,141.0,276.0
B,2026-03-02,Jantar,856.0,1443.9999999999998
B,2026-03-03,Almoço,1479.0,1932.0
B,2026-03-03,Café,156.0,308.57142857142856
B,2026-03-03,Jantar,676.0,1650.0
B,2026-03-04,Almoço,1586.0,1348.0
B,2026-03-04,Café,173.0,332.0
B,2026-03-04,Jantar,1074.0,1200.0
B,2026-03-05,Almoço,1554.0,1759.9999999999998
B,2026-03-05,Café,154.0,327.3333333333333
B,2026-03-05,Jantar,1195.0,2473.333333333333
B,2026-03-06,Almoço,1347.0,1608.4615384615386
B,2026-03-06,Café,175.0,277.99999999999994
B,2026-03-06,Jantar,1078.0,1195.9999999999998
B,2026-03-09,Almoço,1825.0,1768.4615384615383
B,2026-03-09,Café,186.0,282.3076923076923
B,2026-03-09,Jantar,1192.0,1584.0
B,2026-03-10,Almoço,2030.0,2427.5
B,2026-03-10,Café,226.0,295.33333333333337
B,2026-03-10,Jantar,1450.0,1660.0
B,2026-03-11,Almoço,2060.0,2153.9999999999995
B,2026-03-11,Café,220.0,332.0
B,2026-03-11,Jantar,1362.0,1929.8000000000002
