ru,data,refeicao,id_preparacao,tipo_preparacao,preparacao,preparacao_bruta,otimo,regular,ruim,total_respostas,isc_linha
P1,2026-01-05,Jantar,85.0,PB,Sobrecoxa Desossada ao M.,Sobrecoxa Desossada ao M.,22.0,6.0,7.0,35.0,7.342857143
B,2026-01-05,Jantar,85.0,PB,Sobrecoxa Desossada ao M.,Sobrecoxa Desossada ao M.,30.0,8.0,11.0,49.0,7.163265306
P1,2026-01-05,Jantar,111.0,PV,Cubos Suíno ao molho barbecue,Cubos Suíno ao molho barbecue,28.0,2.0,1.0,31.0,9.387096774193548
B,2026-01-05,Jantar,111.0,PV,Cubos Suíno ao molho barbecue,Cubos Suíno ao molho barbecue,28.0,2.0,2.0,32.0,9.125
P1,2026-01-05,Jantar,179.0,VEG,Bolinha de grão de bico,Bolinha de grão de bico,7.0,1.0,0.0,8.0,9.375
B,2026-01-05,Jantar,179.0,VEG,Bolinha de grão de bico,Bolinha de grão de bico,3.0,1.0,1.0,5.0,7.2
P1,2026-01-06,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,31.0,12.0,6.0,49.0,7.673469387755102
B,2026-01-06,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,23.0,11.0,0.0,34.0,8.382352941176471
P1,2026-01-06,Jantar,10.0,Especial,Carne Moída ao Molho,Carne Moída ao Molho,46.0,6.0,4.0,56.0,8.821428571428571
B,2026-01-06,Jantar,10.0,Especial,Carne Moída ao Molho,Carne Moída ao Molho,33.0,7.0,6.0,46.0,8.065217391304348
P1,2026-01-06,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,12.0,3.0,10.0,25.0,5.8
B,2026-01-06,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,4.0,3.0,0.0,7.0,7.857142857142857
P1,2026-01-07,Jantar,82.0,PB,Sobrecoxa Assada/ ao Forno,Sobrecoxa Assada/ ao Forno,33.0,3.0,2.0,38.0,9.131578947368421
