data,ru,resolvido,sheet_origem,resolvido_flag,mes
2025-01-08,B,Resolvido,Atendimentos Especializado,True,2025-01
2026-01-26,B,Resolvido,Atendimentos Especializado,True,2026-01
2026-01-28,L,,Atendimentos Especializado,False,2026-01
2026-01-30,L,,Atendimentos Especializado,False,2026-01
2026-02-26,B,Resolvido,Atendimentos Especializado,True,2026-02
2026-02-03,B,Resolvido,Atendimentos Especializado,True,2026-02
2026-03-03,P1,Resolvido,Atendimentos Especializado,True,2026-03
2026-03-04,P1,Resolvido,Atendimentos Especializado,True,2026-03
2026-03-09,P1,Resolvido,Atendimentos Especializado,True,2026-03
2026-03-11,P1,Resolvido,Atendimentos Especializado,True,2026-03
2026-03-16,B,Resolvido,Atendimentos Especializado,True,2026-03
2026-03-17,P1,,Atendimentos Especializado,False,2026-03
2026-03-23,B,Resolvido,Atendimentos Especializado,True,2026-03
2026-03-24,B,Resolvido,Atendimentos Especializado,True,2026-03
2026-03-31,P1,Resolvido,Atendimentos Especializado,True,2026-03
2026-04-07,P1,Resolvido,Atendimentos Especializado,True,2026-04
2026-04-08,P1,Resolvido,Atendimentos Especializado,True,2026-04
2026-04-14,P1,Resolvido,Atendimentos Especializado,True,2026-04
2026-04-15,P1,Resolvido,Atendimentos Especializado,True,2026-04
2026-04-17,B,Não Resolvido,Atendimentos Especializado,False,2026-04
2026-04-30,B,Resolvido,Atendimentos Especializado,True,2026-04
2026-05-04,P1,,Atendimentos Especializado,False,2026-05
2026-05-07,B,Resolvido,Atendimentos Especializado,True,2026-05
2026-05-15,B,Não Resolvido,Atendimentos Especializado,False,2026-05
2026-05-20,P1,Resolvido,Atendimentos Especializado,True,2026-05
2026-06-09,B,Resolvido,Atendimentos Especializado,True,2026-06
2026-06-23,P1,Resolvido,Atendimentos Especializado,True,2026-06
2026-08-18,P2,Não Resolvido,Atendimentos Especializado,False,2026-08
2026-09-01,B,Resolvido,Atendimentos Especializado,True,2026-09
