refeitorio,data,refeicao,preparacao,cardapio,aparencia,textura,sabor,odor,global,nota,sheet_origem,ru,mes
Benfica,2026-01-05,Café,ESPECIAL,Mingau ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Café,ESPECIAL VEG,Achocolatado vegano ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Porangabussu,2026-01-05,Almoço,PV,Cozido Bovino à Calabresa,2.0,3.0,3.0,4.0,2.0,5.4,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-05,Almoço,PB,Cubos de Frango ao M. Vermelho,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-05,Almoço,VEG,Soja Tropical,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-05,Almoço,PV,Cozido Bovino à Calabresa,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-05,Almoço,PB,Cubos de Frango ao M. Vermelho,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-05,Almoço,VEG,Soja Tropical,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Pici 2,2026-01-05,Café,ESPECIAL,Mingau ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-05,Café,ESPECIAL VEG,Achocolatado vegano ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-05,Almoço,PV,Cozido Bovino à Calabresa,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,P2,2026-01
Pici 2,2026-01-05,Almoço,PB,Cubos de Frango ao M. Vermelho,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-05,Almoço,VEG,Soja Tropical,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 1,2026-01-05,Almoço,PV,Cozido Bovino à Calabresa,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-01
Pici 1,2026-01-05,Almoço,PB,Cubos de Frango ao M. Vermelho,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,P1,2026-01
Pici 1,2026-01-05,Almoço,VEG,Soja Tropical,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-05,Jantar,PV,Cubos Suíno ao molho barbecue,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-05,Jantar,PB,Sobrecoxa Desossada ao M.,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-05,Jantar,VEG,Bolinha de grão de bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Benfica,2026-01-05,Jantar,PV,Cubos Suíno ao molho barbecue,3.0,3.0,3.0,4.0,4.0,6.4,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Jantar,PB,Sobrecoxa Desossada ao M.,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Jantar,VEG,Bolinha de grão de bico,3.0,3.0,4.0,4.0,4.0,7.0,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Café,ESPECIAL,Queijo ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Café,ESPECIAL VEG,Granola,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Pici 1,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Porangabussu,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-06,Almoço,PB,Sobrecoxa Assada,3.0,2.0,4.0,4.0,3.0,6.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-06,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,PO,2026-01
Pici 2,2026-01-06,Café,ESPECIAL,Queijo ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
